"1- Onde o sr.(a) reside (mora)?","PERCENTUAL"
"0","99.45"
"Não Respondidos", "1.66","6"

"13 - Qual meio de transporte você utilizou para se locomover por essa cidade e outras localidades?/Carro/moto própria","PERCENTUAL"
"1","41.55"
"0","58.45"
"Não Respondidos", "1.66","6"

"13 - Qual meio de transporte você utilizou para se locomover por essa cidade e outras localidades?/Moto táxi","PERCENTUAL"
"1","1.11"
"0","98.89"
"Não Respondidos", "1.66","6"

"13 - Qual meio de transporte você utilizou para se locomover por essa cidade e outras localidades?/Quadriciclo","PERCENTUAL"
"1","1.11"
"0","98.89"
"Não Respondidos", "1.66","6"

"13.1- Quais?","PERCENTUAL"
"A pé.","0.62"
"A pé,","0.62"
"Vans","3.70"
"Carro do amigo","0.62"
"Onibus","1.23"
"Ônibus","1.23"
"A pe","10.49"
"Van de turismo","0.62"
"Pê","0.62"
"Pernas e van","0.62"
"Pé","17.90"
"A pé, bike","0.62"
"Taxi e a pé","0.62"
"Tublico van","0.62"
"A pé, vans","0.62"
"Transfer","1.23"
" Taxi","0.62"
"Van","8.64"
"Coletivo","1.85"
"Carro próprio","0.62"
"Uber","0.62"
"Avainas","0.62"
"Van e moto taxi","0.62"
"A pé","21.60"
"Carona","0.62"
"A pé, carro do hotel","0.62"
"A pé e van","0.62"
"Van e bike","0.62"
"Uber e excursões","0.62"
"Taxi","9.88"
"Carro proprio","3.70"
"Van público","0.62"
"Vans e carona","0.62"
"Coletivo van","1.23"
"Trnsfer","0.62"
"A pê","0.62"
"A pé e taxi","1.23"
"Pernas","0.62"
"Moto propria","0.62"
"",""

"14- Qual o meio de hospedagem utilizado?","PERCENTUAL"
"Flat/ apart-hotel","9.81"
"Hotelaria doméstica","1.91"
"Casa de veraneio","9.54"
"Pousada/chalés","22.89"
"Outros","4.63"
"Camping","1.91"
"Casa de parentes/Amigos","17.98"
"Hostel/Albergue","10.08"
"Hotel/resort","21.25"


"15- Qual foi o motivo/ atrativo da sua viagem?","PERCENTUAL"
"Evento","1.63"
"Intercâmbio/ estudo","0.27"
"Lua de mel/ casamento","3.27"
"Sol e praia","43.05"
"Cultural","1.91"
"Outros","16.08"
"Visitar amigos/ parentes","7.90"
"Aventura e natureza","19.35"
"Esportivo","4.09"
"Trabalho","2.45"


"15.1- Quais?","PERCENTUAL"
"Forró do Agora","1.69"
"Balada","1.69"
"Cachaça","1.69"
"Passeio","6.78"
"Descansar","1.69"
"Festa","1.69"
"Ferias","18.64"
"Tempo livre","1.69"
"Descanso","3.39"
" Estava candado, queria relaxar, melhor clima, cidade dele esta ,- 5 c","1.69"
"Férias","20.34"
"Turismo","5.08"
"Não sabia onde ir","1.69"
"Descascar","1.69"
"Ano novo","1.69"
"Conhecer","3.39"
"Praia","1.69"
"Lazer","13.56"
"Residir","1.69"
"Farra","1.69"
"Relaxar","1.69"
"Réveillon","5.08"
"",""

"16- Qual foi a influência para sua escolha por essa cidadel?","PERCENTUAL"
"Evento","1.36"
"Já conhecia o local","40.05"
"Internet","14.99"
"Agência de viagem","5.45"
"Outros","7.36"
"Propaganda","1.36"
"Stand em eventos","0.27"
"Empresa/trabalho","1.09"
"Comentários","28.07"


"16.1- Qual?","PERCENTUAL"
"Curiosidade","4.35"
"Praia próxima.","4.35"
"Sempre quis vim, tentei uma vez mas não consegui hospedagem. Esta cheia a cidade.","4.35"
"Praias","8.70"
"Tranquilidade","4.35"
"Lugar","4.35"
"Amizade","4.35"
"Querem mudar","4.35"
"Amigos","8.70"
"Visita ao filho","4.35"
"Conhecer","4.35"
"Titia","4.35"
"Visitar a filha.","4.35"
"Belezas","8.70"
"Pipa","8.70"
"Por conta","4.35"
"Viagem","4.35"
"Amigos e réveillon","4.35"
"Lindo","4.35"
"",""

"17- Como organizou a viagem?","PERCENTUAL"
"Consultor de viagens","1.09"
"Outros","3.27"
"Agência de viagens","6.81"
"Corporativa","1.09"
"Sozinho/internet","87.74"


"17.1- Quais?","PERCENTUAL"
"Conta propria","9.09"
"Familiar","9.09"
"Com amigos","18.18"
"Já conhecia o lugar","9.09"
"Whatsapp","9.09"
"Roteiro realizado com amigas.","9.09"
"Primos","9.09"
"Familia","18.18"
"Cara da van","9.09"
"",""

"18- Você usou algum serviço especializado em informações turísticas?","PERCENTUAL"
"Não","80.93"
"Sim","19.07"


"18.1- Onde?","PERCENTUAL"
"Agência viagem","1.56"
"Panfletos","1.56"
"Iinternet","1.56"
"Guia de turismo local","1.56"
"Suiça","1.56"
"Bancobras","4.69"
"Caruaru","1.56"
"Book ,guia","1.56"
"Cvc","9.38"
"Internet e agencia de passeios","1.56"
" Internet","1.56"
"Internet","31.25"
"Agência de viajem","1.56"
"Site","3.12"
"Trip","1.56"
"Agência","3.12"
"Agencia viagem e de passeios","1.56"
"Site do hotel","1.56"
"Book","4.69"
"Natal","1.56"
"Em são paulo","1.56"
"Tibau","1.56"
"Ponta Negra","1.56"
"Booking","4.69"
"Hotel","1.56"
"Agencia de passeios","1.56"
"Agentes","3.12"
"Cara da fan","1.56"
"Em salvador","1.56"
"Booking.com e google","1.56"
"Comprou passagem pela cvc","1.56"
"",""

"19- Você utilizou algum serviço de guia ou acompanhante de turismo?","PERCENTUAL"
"Não","89.62"
"Sim","10.38"
"Não Respondidos", "0.27","1"

"19.1- Para quais serviços?","PERCENTUAL"
"City tour/receptivo","8.57"
"Passeios de buggy Passeios em atrativos turísticos Outros","2.86"
"City tour/receptivo Passeios em atrativos turísticos","5.71"
"Passeios de buggy","8.57"
"Passeios em atrativos turísticos Outros","2.86"
"Passeios em atrativos turísticos","45.71"
"Outros","11.43"
"Concierge","2.86"
"Passeios de buggy Outros","2.86"
"City tour/receptivo Passeios de buggy Passeios em atrativos turísticos","8.57"
"",""

"19.1- Para quais serviços?/Concierge","PERCENTUAL"
"1","2.86"
"0","97.14"
"",""

"19.1- Para quais serviços?/Passeios de buggy","PERCENTUAL"
"1","22.86"
"0","77.14"
"",""

"19.1- Para quais serviços?/Outros","PERCENTUAL"
"1","20.00"
"0","80.00"
"",""

"19.1- Para quais serviços?/Passeios em atrativos turísticos","PERCENTUAL"
"0","34.29"
"1","65.71"
"",""

"19.1- Para quais serviços?/City tour/receptivo","PERCENTUAL"
"1","22.86"
"0","77.14"
"",""

"19.2- Quais?","PERCENTUAL"
"Chegar","33.33"
"Quadriciclo","33.33"
"Passeio de barco","33.33"
"",""

"20- Você fez algum passeio?","PERCENTUAL"
"Não","61.58"
"Sim","38.42"


"20.1- Quais?","PERCENTUAL"
"Buggy Quatriciclo","0.71"
"Pau de arara Jardineira Buggy","0.71"
"Buggy Outros","0.71"
"Buggy Catamarã/lancha Quatriciclo","2.14"
"Jardineira Buggy Catamarã/lancha Outros","0.71"
"Jardineira Catamarã/lancha","0.71"
"Quatriciclo","5.71"
"Catamarã/lancha Quatriciclo","7.86"
"Buggy","4.29"
"Pau de arara Buggy Catamarã/lancha Quatriciclo Outros","0.71"
"Pau de arara Jardineira Buggy Catamarã/lancha Quatriciclo Outros","0.71"
"Pau de arara","5.71"
"Buggy Catamarã/lancha Outros","1.43"
"Jardineira Buggy","0.71"
"Pau de arara Jardineira","0.71"
"Jardineira Catamarã/lancha Outros","0.71"
"Pau de arara Catamarã/lancha","3.57"
"Jardineira Buggy Catamarã/lancha","2.14"
"Outros","20.00"
"Catamarã/lancha Outros","2.14"
"Catamarã/lancha","21.43"
"Quatriciclo Outros","0.71"
"Jardineira","2.86"
"Buggy Catamarã/lancha","6.43"
"Buggy Catamarã/lancha Quatriciclo Outros","1.43"
"Pau de arara Quatriciclo","0.71"
"Jardineira Buggy Quatriciclo","2.14"
"Jardineira Quatriciclo Outros","2.14"
"",""

"20.1- Quais?/Outros","PERCENTUAL"
"1","31.43"
"0","68.57"
"",""

"20.1- Quais?/Jardineira","PERCENTUAL"
"1","14.29"
"0","85.71"
"",""

"20.1- Quais?/Catamarã/lancha","PERCENTUAL"
"0","47.86"
"1","52.14"
"",""

"20.1- Quais?/Buggy","PERCENTUAL"
"1","25.00"
"0","75.00"
"",""

"20.1- Quais?/Quatriciclo","PERCENTUAL"
"1","25.00"
"0","75.00"
"",""

"20.1- Quais?/Pau de arara","PERCENTUAL"
"1","12.86"
"0","87.14"
"",""

"20.2- Quais?","PERCENTUAL"
"Arituba","3.23"
"Dunas 4x4","3.23"
"Cajueiro","3.23"
"Praia do amor","3.23"
"Ônibus","3.23"
"Dunas de jeep","3.23"
"Pé","6.45"
"Passeio de barco a vela","3.23"
"Excursão","3.23"
"Kaiak","3.23"
"Lancha","16.13"
"Balsa","6.45"
"Van","3.23"
"Surf","3.23"
"Arvorismo, cavalo","3.23"
"Arvorismo, montaria haras","3.23"
"Arvorismo","9.68"
"Jeep","3.23"
"Arvorismo e cavalo","3.23"
"Santuário","3.23"
"Stand up","3.23"
"Caiak","3.23"
"Cunhau","3.23"
"",""

